--------------------
BDMEP - INMET
--------------------
Estação           : **SAO PAULO MIR de SANTANA  - SP (OMM: 83781)**
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: **01/01/2000 a 27/08/2015**
Os dados listados abaixo são os que encontram-se digitados no BDMEP

--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83781;31/07/2013;0000;14;2.26087;5;82.9;46.765608;46.765608;163.2;6.258065;11;90.9;;929.71828;21.706452;16.697241;12.045161;75.225806;;
83781;31/08/2013;0000;14;2.527957;5.8;137.4;58.436021;47.491714;204.8;5.365591;4;7.7;;928.676344;24.803226;17.985333;12.677419;63.919355;;
83781;30/09/2013;0000;14;2.578889;6.1;125;69.197982;69.197982;165.2;6.277778;8;81.3;;927.67;25.063333;19.1;14.74;68.422414;;
83781;31/10/2013;0000;14;2.96129;5.1;113;80.551115;80.551115;138.3;8.247312;9;126.6;1015.16129;926.396774;24.987097;19.802667;16.012903;72.5;;
83781;30/11/2013;0000;14;2.9;6.6;120.2;97.447304;97.447304;162;7.6;13;123.6;1012.82;924.561111;26.966667;21.458621;17.62;73.05;;
83781;31/12/2013;0000;14;3.246237;6.6;139.2;118.985955;113.252756;195.2;7.978495;6;83.1;;922.351613;28.896774;23.28;19.425806;70.774194;;
83781;31/01/2014;0000;14;2.484946;5.3;160.8;139.32379;139.32379;265.2;6.688172;3;237.9;;925.369892;31.919355;25.092258;19.66129;67.048387;;
83781;28/02/2014;0000;14;2.515476;5;166.4;122.995324;122.995324;212.2;5.940476;;197.6;1012.425;924.877381;31.832143;25.446429;21.142857;63.071429;;
83781;31/03/2014;0000;14;2.724731;6.6;111.2;106.874172;106.874172;177.6;8.096774;;226.9;;925.691398;28.832258;23.096774;19.474194;75.33871;;
83781;30/04/2014;0000;14;2.616667;5.5;98.6;81.010023;81.00148;158.2;7.922222;;79.7;1015.58;927.002222;26.41;21.073333;17.613333;75.191667;;
83781;31/05/2014;0000;14;2.416129;6.3;109;62.165969;60.732662;141.4;7.612903;;46;;927.498925;23.574194;18.812667;14.912903;73.572581;;
83781;30/06/2014;0000;14;2.34;5;112.7;57.165619;41.43079;139.4;6.933333;;9.7;;928.508889;23.653333;18.557333;14.533333;73.1;;
83781;31/07/2014;0000;14;2.341935;5.6;109.5;50.904303;34.746083;149;6.612903;;21.4;;931.054839;21.974194;17.040645;13.4;71.782258;;
83781;31/08/2014;0000;14;2.317204;5.8;141.3;61.115799;40.11272;201.7;5.365591;;29.6;1019.1;929.727957;24.9;18.417419;13.293548;63.959677;;
83781;30/09/2014;0000;14;2.864444;6.6;138.1;78.254703;63.74006;190.9;6.244444;;58.7;;927.295556;26.93;20.434;15.75;68.05;;
83781;31/10/2014;0000;14;2.92043;6.6;180.5;95.202762;36.948109;218.9;6.129032;;25.2;;927.460215;28.680645;21.582667;16.648387;62.879032;;
83781;30/11/2014;0000;14;2.981111;6.8;115;95.625427;95.625427;132.7;8.544444;;117.5;;924.585556;27.126667;21.543448;17.856667;73.008621;;
83781;31/12/2014;0000;32;2.665591;6;129.7;121.076242;121.076242;193.3;7.473118;;203.1;1012.62043;924.793548;29.170968;23.468667;19.241935;68.322581;;
83781;31/01/2015;0000;32;2.433333;5.8;111.9;140.447766;140.447766;196.8;7.247312;;156.2;;925.946739;31.490323;25.387097;21.148387;68.774194;;
83781;28/02/2015;0000;14;2.286746;5.6;101.4;105.95581;105.95581;156.7;8.130952;;273;;924.708333;29.007143;23.631111;19.935714;74.044643;;
83781;31/03/2015;0000;14;2.224731;6.3;92.6;98.595506;98.595506;139.3;8.72043;;332.7;;925.274194;27.248387;22.198065;19.012903;78.459677;;
83781;30/04/2015;0000;14;2.581111;5.8;94.3;78.6903;78.6903;169.2;8.266667;;108.1;;926.363333;25.966667;20.875333;17.783333;76.925;;
83781;31/05/2015;0000;14;2.43871;5.6;86.3;61.493363;60.931283;116.1;8.043011;;50.7;;928.135484;22.867742;18.710667;15.612903;77.891667;;
83781;30/06/2015;0000;14;2.608052;5.8;94;54.074608;46.029832;162.1;6.108333;;20.3;;930.437079;23.22;18.182;14.073333;73.208333;;
83781;31/07/2015;0000;14;;5.65884;;;;126.5;;;65.1;;;;;;;;
